,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
10,Software Engineer,Wiliot,Israel,4.5 ,"Wiliot was founded by the team that invented one of the technologies at the heart of 5G. Their next vision was to develop an IoT sticker, a computing element that can power itself by harvesting radio frequency energy, bringing connectivity and intelligence to everyday products and packaging, things previously disconnect from the IoT. This revolutionary mixture of cloud and semiconductor technology is being used by some of the world’s largest consumer, retail, food and pharmaceutical companies to change the way we make, distribute, sell, use and recycle products. Our investors include Softbank, Amazon, Alibaba, Verizon, NTT DoCoMo, Qualcomm and PepsiCo. We are looking for a junior software developer with proven hands-on skills to join the team and build high-performing, scalable applications. You will collaborate with great people from multiple disciplines to create innovative digital products and integrate them within the Sensing-as-a-Service cloud platform.  Requirements:   Responsibilities:",-1,1,4.2,4.3,4.3,4.3,4.4,1 to 50 Employees,Company - Private,Information Technology,2017,Computer Hardware Development,Unknown / Non-Applicable
11,Data and Insights Analyst,OGC Global,Tel Aviv-Yafo,5.0 ,"OGC is a boutique research and consulting agency specializing in data-driven strategy, quantitative analytics, and Customer Experience (CX) program design and optimization. We work with some of the world’s largest organizations across a variety of industries, including Financial Services, Specialty Retail, Telecommunications, Hospitality and Software, helping them to gain a deep understanding of their customers, develop actionable insights, and improve business processes.  We are seeking a full-time Data and Insights Analyst to join our team and support the development and execution of both our CX and Market research practices. This role provides a great opportunity for a curious, self-starter to become part of a high-performing team, and implement a hands-on approach to data exploration, manipulation, and database extraction automation. This will help our clients with mapping and documenting various data structures and platforms, eventually creating a curated, more approachable pattern of data retrieval. This is a full time position based in our Tel Aviv office with a hybrid work model.",-1,1,5.0,4.5,5.0,5.0,5.0,1 to 50 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable
12,Software Engineer - Data Group,lusha,Tel Aviv-Yafo,3.7 ,"Description Description Lusha is growing rapidly, and we are seeking an exceptional Software Engineer to join us! If you are a highly skilled software engineer, experienced in solving complex algorithmic and engineering challenges, with a strong knowledge of a wide range of technologies and solutions as a Software Engineer, and someone who thrives in a cross-functional and fast-paced environment - continue reading :) You will",-1,0,3.5,3.8,3.6,3.2,3.8,201 to 500 Employees,Company - Private,Information Technology,2016,Software Development,Unknown / Non-Applicable
13,Algorithms Intern – Student Role,Pulsenmore,Ramat Gan,-1,"Pulsenmore is an emerging leader in connected, patient-driven home ultrasound. We are on a mission to dramatically improve access to care while increasing convenience and efficiency for payers, providers, and patients. The algorithms team is a versatile software team responsible for various applications in the company. We employ a variety of techniques like image processing, statistics and probability, and machine learning to improve the experience and quality of ultrasound scans. We are looking for a motivated student with programming capabilities to join our team.  Requirements:    Responsibilities:",-1,1,5.0,5.0,5.0,5.0,5.0,1 to 50 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable
14,SW Development Student,INTEL,Petah Tikva,4.2 ,"Job Description  Intel NEX Cloud Networking (NCNG) team delivers best-in-class Ethernet products and is at the heart of Intel's transformation from a PC company to a company that powers the cloud and billions of smart, connected computing devices. NCNG's compelling Ethernet products move the world's data and are the foundations of cloud service and telecommunications data centers. You will be exposed to High-Speed I/O protocols such as PCIe, DDR5, and PAM4 Ethernet, which are a part of our Ethernet Infrastructure Processing Unit (Intel® IPU) and Foundation NIC (FNIC) Ethernet product lines. We propose a dynamic and flexible workplace position, working directly with highly capable design, system, and pre/post-silicon teams within the organization.     The Network & Edge Group brings together our network connectivity and edge into a business unit chartered to drive technology end to end product leadership. It's leadership Ethernet, Switch, IPU, Photonics, Network and Edge portfolio is comprised of leadership products critically important to our customers.  All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.  We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html  This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",-1,0,4.0,4.0,4.2,3.7,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD)
15,"Senior Software Engineer, Google Cloud",Google,Tel Aviv-Yafo,4.5 ,"Minimum qualifications: Bachelor’s degree or equivalent practical experience. Experience with software development in one or more programming languages, and with data structures/algorithms. Experience testing, maintaining, or launching software products, and with software design and architecture.  Preferred qualifications: Master's degree or PhD in Computer Science or related technical field. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",-1,0,4.2,4.4,4.3,4.0,4.2,10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD)
16,Cloud Analyst - Student Position,Personetics,Giv`atayim,-1,"Personetics is an B2B2C Enterprise-Software Fintech start-up that is leading the Self-Driving Finance revolution in banking. We help banks deliver highly intelligent and personalized banking experiences to their retail customers across all digital channels. We’re pioneering establishing a new category of consumer banking based around data-driven personalization and customer engagement serving over 120 million bank customers worldwide.  Requirements: BA student of Information Technology, or a related field (or equivalent practical experience). Basic understanding of cloud computing principles, architectures, and services.  About The Position:   Responsibilities:",-1,1,3.3,3.4,3.2,3.1,3.3,51 to 200 Employees,Company - Private,Information Technology,-1,Computer Hardware Development,$1 to $5 million (USD)
17,Backend Software Developer,Invaya,Herzliya,3.3 ,Job Description: Developing large scale enterprise cloud SaaS solutions Be involved in the full life-cycle of product development from concept to deliverables  Required Skills: Experienced in writing production-grade code Experience with distributed systems and multi-threaded applications Experience in building complex highly scalable systems Programming in a linux environment Experience with micro-services deployment models A solid understanding of databases and large-scale data processing frameworks,-1,0,2.7,3.0,3.3,2.5,2.6,51 to 200 Employees,Company - Private,Transportation & Logistics,2010,Taxi & Car Services,Unknown / Non-Applicable
18,Software Engineer,NetApp,Tel Aviv-Yafo,4.1 ,"Job Summary  Spot By NetApp is a dynamic and fast-growing business unit, part of NetApp. With innovative technology and a cutting-edge algorithm, Spot analyzes trends in each of the various cloud providers’ markets and takes actions to provide our customers with an optimized and cost-efficient environment. Spot by NetApp is revolutionizing the cloud computing industry by that and numerous other features. Our vision is to optimize the way DevOps and R&D teams consume cloud computing. We’re looking for experienced backend software engineer to join our cloud compute team. Our backend engineer will be responsible for the design, development, testing and maintenance of our API-based and database driven web applications that will drive our software engineering efforts and provide crucial control tools for our customers.  Job Requirements  Responsibilities",-1,0,3.7,4.2,4.2,3.5,4.3,10000+ Employees,Company - Public,Information Technology,1992,Enterprise Software & Network Solutions,$5 to $10 billion (USD)
19,Software Engineer,Capitolis,Tel Aviv-Yafo,4.1 ,"We believe the financial markets can and should work for everyone. Capitolis is the technology company helping to create safer and more vibrant capital markets by unlocking capital constraints and enabling greater access to more diversified capital and investment opportunities. Rooted in advanced technology and deep financial expertise, Capitolis powers groundbreaking financial solutions that drive growth for global and regional banks – and institutional investors alike. Capitolis is backed by world class venture capital firms, including Canapi Ventures, 9Yards Capital, SVB Capital, Andreessen Horowitz (a16z), Index Ventures, Sequoia Capital, Spark Capital, and S Capital, as well as leading global banks such as J.P. Morgan, Citi and State Street. Founded in 2017, our team brings decades of experience in launching successful startups, technology, and financial services. Capitolis was recently named to Fast Company's prestigious annual list of The World's Most Innovative Companies for 2023 as well as Crain's 2022 Best Places to Work in New York City list.",-1,1,4.1,4.0,3.9,3.9,4.0,51 to 200 Employees,Company - Private,Financial Services,2017,Financial Transaction Processing,Unknown / Non-Applicable
20,Software development student,Screenovate,Qiryat Gat,4.2 ,"MSOA Israel Software Analytics Team is seeking a talented and passionate student with a strong background in FE/UI/UX to join our team. As a member of our agile team, you will be responsible for developing high-quality UI concepts and application solutions for customers in Intel sites worldwide. You will be tasked with designing intuitive, user-friendly UI/UX concepts that are visually appealing and easy to use. The insights generated by these applications will have a significant impact on Intel's day-to-day engineering work. In this role, you will be required to interact with various personas, including managers, engineers, and technicians, to extract and understand the data. We are looking for a curious, creative, fast, focused, and innovative individual to join our development team. If you are passionate about creating UI/UX designs that are both aesthetically pleasing and highly functional, and have a desire to work in a dynamic and challenging environment, we encourage you to apply.     As the world's largest chip manufacturer, Intel strives to make every facet of semiconductor manufacturing state-of-the-art - from semiconductor process development and manufacturing, through yield improvement to packaging, final test and optimization, and world class Supply Chain and facilities support. Employees in the Technology Development and Manufacturing Group are part of a worldwide network of design, development, manufacturing, and assembly/test facilities, all focused on utilizing the power of Moore’s Law to bring smart, connected devices to every person on Earth.  All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.  We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html  This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",-1,0,4.0,4.0,4.2,3.7,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD)
21,Software Engineer,Proofpoint,Tel Aviv-Yafo,4.1 ,"It's fun to work in a company where people truly BELIEVE in what they're doing! We're committed to bringing passion and customer focus to the business. At Proofpoint, we have a passion for protecting people, data, and brands from today’s advanced threats and compliance risks. We hire the best people in the business to: Build and enhance our proven security platform Blend innovation and speed in a constantly evolving cloud architecture Analyze new threats and offer deep insight through data-driven intel Collaborate with customers to help solve their toughest security challenges  We are singularly devoted to helping our customers protect what matters most. That’s why we’re a leader in next-generation cybersecurity—and why more than half of the Fortune 100 trust us as a security partner.",-1,0,3.9,3.7,4.1,4.0,4.0,1001 to 5000 Employees,Company - Private,Information Technology,2002,Enterprise Software & Network Solutions,$100 to $500 million (USD)
22,Zerto- DevOps Engineering Intern,Hewlett Packard Enterprise,Herzliya,4.2 ,"Zerto- DevOps Engineering Intern  This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office. Who We Are: Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.      Accountability, Accountability, Action Planning, Active Learning, Active Listening, Bias, Business, Calendar Management, Coaching, Computer Literacy, Creativity, Critical Thinking, Dealing with Ambiguity, Design Thinking, Empathy, Follow-Through, Growth Mindset, Intellectual Curiosity, Office Administration, Policy and procedures, Problem Solving, Project Management, Recordkeeping, Risk Assessment, Software Development {+ 5 more} Administration N/A",-1,0,3.8,3.7,4.3,3.8,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable
23,Backend Software Engineer,Silverfort,Tel Aviv-Yafo,4.9 ,"Silverfort is a cyber-security startup that develops a revolutionary identity protection platform. Using patented technology, our product enables strong authentication across entire corporate networks and cloud environments, without any modifications to endpoints and servers. In addition, we use advanced behavior analytics to apply adaptive authentication policies and prevent cyber-attacks in real time. Our mission is to provide industry-leading unified identity protection solutions for hybrid and multi-cloud environments. We develop cutting-edge cybersecurity technology that solves urgent customer needs today and is also a game changer for years to come. Silverfort’s team includes exceptional researchers, engineers, and technology experts who successfully tackle some of the most complex challenges in cyber-security. Silverfort has happy customers worldwide, strong market validation (including several industry awards), strategic partnerships with the largest security vendors in the world, and significant funding from leading VCs.  Requirements:  Responsibilities:",-1,1,4.8,4.8,4.9,4.9,4.8,51 to 200 Employees,Company - Private,Information Technology,2016,Enterprise Software & Network Solutions,Unknown / Non-Applicable
24,Manual and Automation QA Intern,Hewlett Packard Enterprise,Herzliya,4.2 ,"Manual and Automation QA Intern  This role has been designated as ‘Edge’, which means you will primarily work outside of an HPE office. Who We Are: Hewlett Packard Enterprise is the global edge-to-cloud company advancing the way people live and work. We help companies connect, protect, analyze, and act on their data and applications wherever they live, from edge to cloud, so they can turn insights into outcomes at the speed required to thrive in today’s complex world. Our culture thrives on finding new and better ways to accelerate what’s next. We know diverse backgrounds are valued and succeed here. We have the flexibility to manage our work and personal needs. We make bold moves, together, and are a force for good. If you are looking to stretch and grow your career our culture will embrace you. Open up opportunities with HPE.      Accountability, Accountability, Action Planning, Active Learning, Active Listening, Bias, Business, Calendar Management, Coaching, Computer Literacy, Creativity, Critical Thinking, Dealing with Ambiguity, Design Thinking, Empathy, Follow-Through, Growth Mindset, Intellectual Curiosity, Office Administration, Policy and procedures, Problem Solving, Project Management, Recordkeeping, Risk Assessment, Software Development {+ 5 more} Administration N/A",-1,0,3.8,3.7,4.3,3.8,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable
25,Frontend Software Engineer,ISI,Yehud,4.3 ,"We’re looking for a senior Angular developer to join our AI Lab. Responsibilities Develop our next generation intelligence systems Research new technologies and solutions for our next generation systems Analyze and solve difficult problems across the system, working closely with our AI researchers, UI/UX Team and QA specialists. Required Skills B.Sc. in Computer Science/Software Engineering or equivalent",-1,0,4.3,3.8,4.3,4.0,4.8,51 to 200 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
26,Machine Learning Engineer / Software Engineer,Horizon Technologies,Ramat Gan,3.5 ,"We’re seeking an experienced Machine Learning Engineer / Software Engineer (ML oriented), who will be integral to the data science feature development process, working in tandem with data engineering. You will design machine learning pipelines, apply algorithms to generate predictions and tackle data set challenges, and develop the first-ever, real-time corporate credit score platform. This isn't just another job. you'll be a key part of an exciting, experienced team in a fast-paced environment. You will:  Build forecasting/prediction models from scratch (POC) to production-ready Work closely in aligning the product, research, and development teams in crafting the product, increasing product effectiveness Take a critical role in the research process for finding the best market solutions for defined business problems Provide guidance to the R&D team and product teams  You have:  2+ years of experience as a Senior Software Engineer (ML), Machine Learning Engineer, Data Engineer, or in a similar role 4+ years of hands-on experience in engineering with Python Minimum 3-4 years of relevant experience: SQL complex queries (aggregations, analysis, etc.), as a strong cloud architect Degree in Computer Science, Physics, Mathematics, or equivalent experience Profound analytical skills and true love for data Extensive background in statistical analysis",-1,0,3.3,3.3,3.0,3.1,2.9,201 to 500 Employees,Company - Private,Management & Consulting,-1,Business Consulting,$25 to $100 million (USD)
27,Algorithms Software Engineer,WhiteSource,Giv`atayim,4.2 ,"Mend.io is passionate about safeguarding the applications that power our digital world. We are a fast-growing company with a vision for building next-level application security that developers and security teams both love to use. We have offices in Boston and Tel-Aviv as well as a global workforce of remote workers. Our culture is open, inclusive, and engaging, and we work hard to foster a company where everyone feels valued. Mend is a company that lives by its values: We are passionate about excellence We see the world from the customer’s perspective",-1,0,4.0,3.9,4.3,3.7,4.1,201 to 500 Employees,Company - Private,Information Technology,2011,Enterprise Software & Network Solutions,Unknown / Non-Applicable
28,Information Security Student,INTEL,Petah Tikva,4.2 ,"Job Description  The Intel Information Security team provides the critical capabilities that protect our people, apps, content and devices while simultaneously allowing the business to run faster than it does today. We are looking for talented and motivated students with strong technical skills and the ability to rapidly learn new technologies. The ideal candidate for this position should have exposure and interest in one or several of the key Cyber Security domains including: Endpoint Security, Vulnerability Management, Data Protection, Penetration Testing, Red Teaming, etc.     Intel's Information Technology Group (IT) designs, deploys and supports the information technology architecture and hardware/software applications for Intel. This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. IT is also responsible for e-Commerce development, data hosting and delivery of Web content and services.  All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance.  We offer a total compensation package that ranks among the best in the industry. It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation. Find more information about all of our Amazing Benefits here: https://www.intel.com/content/www/us/en/jobs/benefits.html",-1,0,4.0,4.0,4.2,3.7,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD)
29,Security Researcher: Intern Opportunities,Microsoft,Tel Aviv-Yafo,4.3 ,"Every year, we welcome thousands of university students from every corner of the world to join Microsoft. You bring your aspirations, talent, potential—and excitement for the journey ahead.  At Microsoft, Interns work on real-world projects in collaboration with teams across the world, while having fun along the way. You’ll be empowered to build community, explore your passions and achieve your goals. This is your chance to bring your solutions and ideas to life while working on cutting-edge technology. The internship is designed not only for you to do great work with the opportunity to learn and grow, but to experience our culture full of diverse community connection, executive engagement, and memorable events.  We’re a company of learn-it-alls rather than know-it-alls and our culture is centered around embracing a growth mindset, a theme of inspiring excellence, and encouraging teams and leaders to bring their best each day. Does this sound like you? Learn more about our cultural attributes.          Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",-1,0,4.1,4.1,4.3,3.9,4.1,10000+ Employees,Company - Public,Information Technology,1975,Computer Hardware Development,$10+ billion (USD)
