,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
10,Fullstack Developer,Optimove,Tel Aviv-Yafo,4.3 ,"Optimove is a global marketing tech company, recognized as a Leader by Forrester and a Challenger by Gartner. We work with some of the world's most exciting brands, such as Papa John's, Staples, and Entain, who love our thought-provoking combination of art and science. With a strong product, a proven business, and the DNA of a vibrant, fast-growing startup, we're on the cusp of our next growth spurt. It's the perfect time to join our team of ~400 thinkers and doers across NYC, LDN, TLV, and other locations, where 2 of every 3 managers were promoted from within. Growing your career with Optimove is basically guaranteed. Responsibilities: Build, optimize, and improve the mobile SDKs",-1,0,4.4,4.0,4.5,4.4,4.4,201 to 500 Employees,Company - Private,Information Technology,2009,Internet & Web Services,Unknown / Non-Applicable
11,Full Stack web developer,eternitech,Tel Aviv-Yafo,1.0 ,"Position description Eternitech is looking for Full Stack web developer, with at least 3 years of experience with Web development technologies & Mobile Applications. Required skills Vast experience in PHP, AngularJS, jQuery. Vast experience in HTML, CSS, supporting browsers and platforms and Responsive programming for tablet and mobile phone web apps. Experience in one the following languages:, C #, Ruby, Python – Advantage.",-1,0,1.0,1.0,1.0,1.0,1.0,1 to 50 Employees,Company - Private,-1,1993,-1,$5 to $25 million (USD)
12,Frontend Software Developer בחברת הייטק מצליחה בתחום הOnline,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: החברה מקדמת את אתרי הלוטו הגדולים בעולם, המאפשרים לצרכנים לרכוש כרטיסים ולהשתתף בהגרלות לוטו ללא מגבלות מרחק וגבולות גיאוגרפיים. חברה יציבה הקיימת מעל 20 שנה בתעשייה, עם עשרות אלפי יוזרים בכל העולם. החברה יושבת בתל אביב. משלבים מודל עבודה היברידי. מונים כיום 150 עובדים גלובאלית, מתוכם 75 בישראל. מהות התפקיד: כולל פיתוח בעיקר עם React ועם Node.js, MSSQL, Elastic, Cassandra, Mongo, K8s, Docker, Helm, Gitops. דרישות המשרה:",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
13,Backend Developer,Albert Technologies,Tel Aviv-Yafo,3.5 ,"Tel Aviv – R&D As a Backend Developer at Albert, you will be working closely with our research and algorithmics teams to constantly make Albert smarter. Responsibilities: Albert is a robust, cloud-based artificial intelligence platform that plugs into a marketer’s existing tech stack and operates it – planning, building and optimizing huge paid digital marketing campaigns (enterprise scale). The only system of its kind in the world, it is an autonomous AI that is the result of 8 years of development by a team of 80 data scientists and engineers. Albert processes and analyzes audience and tactic data at scale, making optimization decisions, and extracting useful and actionable insights for our clients.",-1,0,3.0,3.2,3.4,3.2,3.2,1 to 50 Employees,Company - Public,-1,-1,-1,$1 to $5 million (USD)
14,Frontend Developer,Agora,Tel Aviv-Yafo,3.7 ,"We're Agora, an early-stage Fintech startup based in TLV on a mission to revolutionize the way Real Estate firms and investors manage their capital. Our Investment Management software help companies raise and preserve more capital by automating their back-office operations, increasing their investors' satisfaction, and providing them with advanced tools for better marketing efforts.  Requirements: 3+ years of experience in front-end development using Angular / React/ Vue. Strong understanding of JavaScript, TypeScript, and testing frameworks.  What are we looking for:   Equal opportunity:",-1,1,3.7,3.5,3.6,3.2,3.8,1001 to 5000 Employees,Company - Private,Media & Communication,1978,Publishing,Unknown / Non-Applicable
15,React + Node.JS Developer,ריל קומרס,Tel Aviv-Yafo,-1,"תיאור המשרה !RealCommerce is growing and looking for React + Node.JS Developer About us ? RealCommerce develops top-end websites, mobile apps and dynamic digital solutions for leading organizations. From an order approval to a project delivery, we are committed to your product, your budget and the project time line. דרישות התפקיד 2 + years of experience in software development - must. At least 2 years of experience in client-side development, using the advanced versions of React + NodeJS - must. Experience working with React Native - required. Experience in building a Rest API based on a Web API - required. Experience working with JavaScript - required. Full control of HTML, CSS - required. Experience in backend technologies - an advantage.",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
16,Backend developer 158871,ווין ג׳ובס,Tel Aviv-Yafo,-1,".A Finitech company is looking for a Backend developer .The company is located in the central region .Availability to a full-time work, Sunday-Thursday, 9am-6pm :Job Requirements are #Experience in Back End .NET Core development and proficiency in C Strong understanding of Object-Oriented Programming (OOP) design principles. Previous experience in writing Microservices and Web APIs .Bachelor's degree in computer science, Software Engineering, or a related field Full social conditions",-1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
17,Junior Software Developer בחברת הייטק מצוינת ברעננה,Gotfriends,Central,4.8 ,"מיקום: השרון תיאור המשרה: אנחנו מגייסים מפתח/ת Java Junior! הזדמנות להצטרף לחברת הייטק מצוינת המפתחת פלטפורמה להפצת אפליקציות מובייל וניטור תוכן ונכסים לתחום של פרסומות בוידאו. גייסו עד כה למעלה מ13 מליון דולר. מונים 90 עובדים גלובלית, בארץ 40. התפקיד כולל עבודה עם טכנולוגיות Big Data (Spark, Hadoop), AWS, Microservice ועוד טכנולוגיות מעניינות. אנחנו מחפשים מפתח/ת Junior שרוצה להשפיע ואוהב/ת אתגרים! שלח/י קורות חיים. דרישות המשרה:",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
18,Front End Developer,KMS Lighthouse,Petah Tikva,-1,"KMS Lighthouse is a global software (SaaS) company that drives smarter, better business interactions with its knowledge management solutions. We use advanced technologies and take an innovative approach to build knowledge management solutions. This an amazing opportunity to join a hyper-growing company and to make a real impact!  KMS Lighthouse is an industry leader in knowledge management, working with Fortune 500 enterprise-level customers. If you're interested in the intersection of technology, innovation, and knowledge, this is the place to be.  We are growing its R&D center, and we are looking for a Front-End Developer to join our team:  Requirements:",-1,1,4.8,4.0,4.8,4.9,4.8,51 to 200 Employees,Company - Private,Information Technology,2012,Enterprise Software & Network Solutions,Unknown / Non-Applicable
19,Frontend Software Engineer,ISI,Yehud,4.3 ,"We’re looking for a senior Angular developer to join our AI Lab. Responsibilities Develop our next generation intelligence systems Research new technologies and solutions for our next generation systems Analyze and solve difficult problems across the system, working closely with our AI researchers, UI/UX Team and QA specialists. Required Skills B.Sc. in Computer Science/Software Engineering or equivalent",-1,0,4.3,3.8,4.3,4.0,4.8,51 to 200 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
20,Front-End Developer,Dragontail Systems,Ramat Gan,-1,"Dragontail Systems is the leading B2B company of revolutionary optimization software for the food and delivery industry with global presence. Recently joined YUM! Brands, a company with over 52,000 restaurants in more than 150 countries and territories primarily operating the company’s restaurant brands – KFC, Pizza Hut, Taco Bell and The Habit Burger Grill. As a Front-End Developer you will be a key member of the development team. You are an accomplished developer and spend your time solving UI/UX challenges making great end to end solutions. You are expected to help design and deliver components and applications . You will own your code from design through implementation and test automation, delivering high quality and valued software.  Requirements:",-1,1,5.0,3.5,4.5,5.0,4.5,51 to 200 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable
21,Software Engineer,Skai,Tel Aviv-Yafo,-1,"Hi! Thanks for checking out the Software Engineer Position! Who are we? Skai helps thousands of the most successful brands in the world reach customers and grow their brands on digital channels. The company offers best-of-breed advertising technology on the most impactful, highest-ROI media channels as well as a suite of data-driven insights, planning, and measurement solutions to complement and maximize the return from our solutions. We’re 700 employees strong and growing every day! ~$7 billion in ad spending is managed on the SkaiTM platform every year, driving hundreds of billions in commerce decisions and sales transactions. Established in 2006, we are a thriving organization, with a unique, vibrant startup culture with an incredible track record of success and an amazing future in sight!   Requirements:     Region: Israel",-1,1,-1.0,-1.0,-1.0,-1.0,-1.0,1 to 50 Employees,Unknown,-1,-1,-1,Unknown / Non-Applicable
22,React Developer- Herzliya,code value,Herzliya,3.9 ,"About The Position CodeValue is looking for an experienced React Developer to join our R&D team. WHY should you JOIN OUR TEAM: At CodeValue you will lead the way to be in the most cutting edge technologies, with our elite development team, you will help our customers to be at the forefront of their fields. What’s the job? Building our main web application and products for millions of consumers.",-1,0,3.8,2.8,3.7,3.8,4.0,51 to 200 Employees,Company - Public,Information Technology,2010,Software Development,Unknown / Non-Applicable
23,Backend Software Developer - Israel,ART Medical,Netanya,4.7 ,"ART MEDICAL is a well-funded medical startup, developing cutting-edge technologies for ICU patients. Our smART+™ platform is an intelligent, sensor-based feeding system for critical care patients that aims to prevent life-threatening, in-hospital complications, such as ventilator-associated pneumonia, malnutrition, and acute kidney injury. With the introduction of Nutrition Management 2.0™ to critical care patient scoring systems, the smART+™ platform monitors, analyzes and prevents malnutrition and gastric aspiration in real time. By providing optimal nutritional care and achieving up to 100% feeding efficiency, the smART+™ platform improves the standard of care and helps ICU patients recover faster. We are looking for a Backend Software Developer to join our interdisciplinary group of software, firmware, and hardware engineers.",-1,0,4.5,4.2,4.6,4.4,4.3,Unknown,Company - Public,-1,-1,-1,Unknown / Non-Applicable
24,Full Stack Developer,Moon Active,Tel Aviv-Yafo,4.6 ,"Moon Active is one of the world's fastest-growing mobile game companies, providing entertainment to millions of active users across the universe. The company is headquartered in the heart of Tel Aviv. This is a great chance for developers to join our team, get familiar with cutting edge technologies, get experience in coding and implementing complex systems. We’re looking for a talented Full Stack Developer to join our amazing and growing R&D platform group. You’ll make a huge impact on Moon Active's growth by developing Business Applications for Operations, Monetization, CRM, analysts, BI and more, in a multi-game-studio environment that enables us to leverage insights from massive amounts of data and deliver an optimized and personalized experience to our players.",-1,0,4.4,4.7,4.6,4.4,3.9,1001 to 5000 Employees,Company - Private,Information Technology,2011,Internet & Web Services,Unknown / Non-Applicable
25,Front End / Full Stack Developer - Freelance for 3 months,Razor Labs,Tel Aviv-Yafo,-1,"Razor-labs is leading the industry 4.0 revolution by leveraging deep-learning expertise to make machines smarter. The interface between algorithms, a rich technical stack and complex hardware data makes the challenges our super talented engineers face super interesting. If you are a star full stack engineer that wants to challenge yourself in working with best-in-class algorithm experts then Razor-Labs is the place for you. Our engineers take full responsibility for their domain, and are expected to lead it and own it. We’re seeking a Full Stack Developer to: Plan, design & develop a new cloud-based platform.  Requirements:",-1,1,3.5,2.6,2.9,2.7,3.1,51 to 200 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
26,Front-End Developer,Mccann,Tel Aviv-Yafo,3.4 ,"A Bit About Us We are an ever-evolving company, driven by our passion for video. We’ve grown from a small start-up to a thriving business, and have been a part of the biggest global ad agency for ten years. Our main priority is maintaining our fun and determined environment and keeping our employees engaged in their work. We need people that are as passionate about video and the ad tech industry. If you are ambitious, hardworking, and motivated, we want to get to know you!   Requirements:  Sub Company: Primis",-1,1,3.1,3.1,3.2,2.9,3.2,10000+ Employees,Subsidiary or Business Segment,Media & Communication,1912,Advertising & Public Relations,Unknown / Non-Applicable
27,Backend Developer,Healthy.io,Tel Aviv-Yafo,4.6 ,"Healthy.io is one of the first companies to successfully turn a smartphone into a clinical-grade medical device enabling faster treatment and improved care for patients worldwide. Our products are powered by computer vision and machine learning and create new clinical pathways through smartphone-powered urinalysis and digitized wound management. We are looking for a Backend Developer who will be responsible for building and maintaining core back-end features. The role includes writing server-side logic, developing APIs and databases, and managing hosting environments. The ideal candidate will have the ability to develop secure, robust, and scalable back-end solutions and use their knowledge of the back-end development landscape to identify best practices and trends.  Requirements:  Role & Responsibilities:",-1,1,4.1,4.1,4.6,4.3,4.5,201 to 500 Employees,Company - Private,Healthcare,2013,Medical Testing & Clinical Laboratories,Unknown / Non-Applicable
28,C++ Software Developer,Incredibuild,Tel Aviv-Yafo,4.2 ,"Who we are Incredibuild empowers developers to radically accelerate their work by shortening build times, allowing more iterations and faster product releases. Thousands of customers including world-leading brands trust our platform to streamline and accelerate everything from compilation to release automation, generating great savings of resources and accelerating Time-To-Market for leading brands. We’ve helped over 200,000 developers at tech giants like Microsoft, Samsung, Nintendo, Amazon, and many others to develop some of the most successful software in many industries such as gaming, financial services, Embedded software, and more.  Requirements:",-1,1,3.8,4.2,4.5,3.9,4.5,201 to 500 Employees,Company - Private,Information Technology,2002,Enterprise Software & Network Solutions,Unknown / Non-Applicable
29,Front-end Software Developer - React,Check Point Software Technologies Ltd.,Tel Aviv-Yafo,3.9 ,"Your Team If working with the public cloud and delivering the best security solution to the largest companies in the industry sounds awesome to you, this is your OPPORTUNITY! We are looking for a Senior Front End Developer for our Compliance Core team. It required you to bring some experience, the rest we will cover. This is a great opportunity for individuals seeking to develop solutions to the most pressing and challenging problems in Cloud Security while working with a wide spectrum of cutting-edge technologies.",-1,0,3.9,3.4,3.9,3.6,3.9,5001 to 10000 Employees,Company - Public,Information Technology,1993,Software Development,$1 to $5 billion (USD)
30,Student developer / support person,Typemock,Israel,-1,09/03/2022   To participate in development and support of company products which are aimed for professional developers.  Job requirements:  Experience in programming in C# and / or C++  Desire and ability to solve problems  Experience in installation and configuration of different software products,-1,0,2.6,3.1,2.6,2.8,3.3,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
31,Junior Full Stack Web Developer,CPS Jobs,Tel Aviv,2.6 ,"תחום: A Communications company Jerusalem is looking for a full stack developer   Design and code new web applications Maintain, improve and extend existing code base written in React, Redux, Bootstrap, ASP.net and Web API דרישות:",-1,0,3.0,1.8,2.3,2.5,3.6,1 to 50 Employees,Company - Private,Human Resources & Staffing,-1,HR Consulting,Unknown / Non-Applicable
32,Full Stack Software Developer,Kornit Digital,Rosh Ha`Ayin,3.8 ,"Nice to meet you - we are Kornit Digital! Kornit Digital is a worldwide market leader in sustainable, on-demand, digital fashion and textile production technologies. The Company is writing the operating system for fashion with end-to-end solutions including digital printing systems, inks, consumables, and an entire global ecosystem that manages workflows and fulfilment. Every day we take the chance to re-invent, create, solve, adapt, improve and conquer the unexpected. Our engagement drives us to change the way people print on textiles today and in the future. You are invited to be part of it to #expressyourbest!    Requirements:   Region: Israel",-1,1,4.1,3.8,3.9,3.3,3.8,501 to 1000 Employees,Company - Public,Manufacturing,2002,Textile & Apparel Manufacturing,$100 to $500 million (USD)
33,C# Software Developer,Camtek,Israel,3.9 ,"Job Description Participant in development of multidisciplinary project end to end full stack The development shall be mostly in C# and C++ Lead development tasks through all stages – gathering requirements, planning, performing DRs and full implementation. Design and implement various features on a wide range of platforms. Work closely with System and HW engineers, SW developers, QA and many more. Perform design and code reviews and system integrations.",-1,0,3.2,3.5,3.8,3.4,3.2,201 to 500 Employees,Company - Public,Manufacturing,-1,Electronics Manufacturing,$100 to $500 million (USD)
34,Python Backend Developer,Dynamic Yield,Tel Aviv-Yafo,4.0 ,"About Our Backend Developer Dynamic Yield, by Mastercard, is on the lookout for an exceptional Backend Developer focused on constructing better, more efficient programs and inspiring teams to build innovative and inspiring end-user experiences. The role requires a mind for collaboration, a motivated spirit, and the experience to repeatedly innovate solutions. Dynamic Yield prides itself on its ability to deliver top shelf services to clients; our Senior Backend Developer must be able to design and implement real time systems that work at scale and at real-time. Dynamic Yield is a company rooted in collaboration and creativity and is looking for excellence, the ability to effectively communicate through multiple channels, and high-functioning interpersonal skills - all are critical for this role's success.",-1,1,3.8,3.7,3.8,3.8,3.8,51 to 200 Employees,Company - Private,Information Technology,2011,Internet & Web Services,Unknown / Non-Applicable
35,Backend Software Development Engineer,Munters,Petah Tikva,3.8 ,Did you know that we facilitate over half of the world’s lithium battery production? And that 1 out of 7 meals worldwide have been produced in facilities equipped with our climate control? Munters has been a pioneer of sustainable air treatment solutions since 1955. Today our technology is more relevant than ever and is mission-critical for the production of medicine to the running of data centers. Together we work to support our customers in creating a healthier planet. Come work for us and be a part of this exciting journey. Did you know that we facilitate over half of the world’s lithium battery production? And that 1 out of 7 meals worldwide have been produced in facilities equipped with our climate control? Munters has been a pioneer of sustainable air treatment solutions since 1955. Today our technology is more relevant than ever and is mission-critical for the production of medicine to the running of data centers. Together we work to support our customers in creating a healthier planet. Come work for us and be a part of this exciting journey.  Munters Israel is looking for an experienced BackEnd Developer  What will you do?,-1,0,3.5,3.7,3.7,3.2,3.7,1001 to 5000 Employees,Company - Public,Manufacturing,1955,Machinery Manufacturing,$500 million to $1 billion (USD)
36,AI Python Developer לחברה בתל אביב,AMBITION,Tel Aviv-Yafo,3.9 ,"AI Python Developer לחברה בתל אביב AI Python Developer לחברה בתל אביב Strong proficiency in the Python programming language, 2-3 years of experience. Solid understanding of software development principles, concepts, and best practices. Experience in developing and maintaining frameworks such as Pandas, NumPy and Matplotlib. Familiarity with Git.",-1,0,4.2,4.0,4.3,4.2,4.2,201 to 500 Employees,Company - Public,Human Resources & Staffing,1999,HR Consulting,$25 to $100 million (USD)
37,Node.js developer,eternitech,Tel Aviv-Yafo,1.0 ,"Position description Eternitech is looking for an experienced backend node.js developer, with advanced understanding in JavaScript and scalable solutions. Required skills At least 1 year of experience in node.js backend development At least 2 years in Javascript development Experience in: Node.js, streams, clusters, express, web workers, etc. B.A. in Computer Science / Software Engineering from a recognized academic institution.",-1,0,1.0,1.0,1.0,1.0,1.0,1 to 50 Employees,Company - Private,-1,1993,-1,$5 to $25 million (USD)
38,Backend Developer,BMC Software,Tel Aviv-Yafo,4.1 ,Basic Information Country Israel State NA City Tel Aviv Date Published,-1,0,3.9,4.1,4.1,3.8,4.0,5001 to 10000 Employees,Company - Private,Information Technology,1980,Enterprise Software & Network Solutions,$1 to $5 billion (USD)
39,junior C# developer,CPS Jobs,Tel Aviv,2.6 ,"תחום: A security company developing cutting edge IoT technology in the security field is looking for a juniorC#.developer דרישות:   Bachelor's degree in Computer Science / Software Engineering-must 2-4 years of C# development experience -must Client-server system development experience-must Multi-threading on Windows platform-must Hands-on experience with Microsoft technologies, specifically: .NET, C#, SQL Server, Windows server Hands-on experience with communication protocols, specifically: JSON/XML, TCP/IP, UDP, sockets, WCF Experience with WPF- Big advantage Hands-on experience with C++ – Big Advantage Experience with Command & Control Systems- Big advantage security clearance- advantage",-1,0,3.0,1.8,2.3,2.5,3.6,1 to 50 Employees,Company - Private,Human Resources & Staffing,-1,HR Consulting,Unknown / Non-Applicable
40,Backend Software Engineer - Air Platform,Oski Technology,Israel,4.6 ,"NVIDIA has been redefining computer graphics, PC gaming, and accelerated computing for more than 25 years. It’s an outstanding legacy of innovation that’s motivated by extraordinary technology —and amazing people. NVIDIA is looking for an experienced Python Developer to join our Air team – the Digital Twin for Data Center Simulation web application. To learn more, visit https://air.nvidia.com. As a Python Developer, you will be responsible for designing, developing, and maintaining our web applications. This position offers the opportunity to have a real impact in an influential, technology-focused company impacting product lines that power the most advanced data centers in the world. We have crafted a team of outstanding people, whose mission is to push the frontiers of what is possible today and define the platform for the future of data center simulation and design. What you'll be doing:",-1,0,4.4,4.5,4.5,4.3,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD)
41,Software developer,CPS Jobs,Tel Aviv,2.6 ,"תחום: A leading software security company is looking for a Software developer! דרישות:  Bachelor's degree in Computer Science or a related field. Thorough understanding of major programming paradigms such as object-oriented, functional, procedural, data-driven programming. 5+ years of proven experience in python and C development of production quality software in Linux environment, using Linux toolchain. Deep knowledge and proven experience in Linux/UNIX system and network programming, multiprocessing/multithreading, IPC, TCP/IP, major application level protocols, client-server programming, messaging systems, API design, etc. Experience in relational databases and SQL. Experience in working with Agile dev. Method Solid background and experience in cloud and virtualized environments – at least some of AWS, Azure, GCP, VMware, OpenStack, VMware, KVM, Hyper-V. Solid understanding of security concepts (network, OS, applications). .",-1,0,3.0,1.8,2.3,2.5,3.6,1 to 50 Employees,Company - Private,Human Resources & Staffing,-1,HR Consulting,Unknown / Non-Applicable
42,Full Stack Developer,ironSource,Tel Aviv-Yafo,4.2 ,"Unity is seeking a talented Full Stack Developer to work on the creation and maintenance of Unity's Levelplay mediation platform, which serves thousands of B2B customers and billions of users.  Requirements: Bachelor's degree in Computer Science or a related field 2+ years of experience in design and implementation of highly scalable & distributed web applications. Experience with one of the following frontend frameworks: React, Angular, or Vue. Experience in server side languages (such as Node.JS, Java, Scala, Go, Python)  Role:  Business Unit: R&D",-1,1,4.0,3.8,4.1,4.0,3.9,501 to 1000 Employees,Company - Private,Information Technology,2010,Computer Hardware Development,Unknown / Non-Applicable
43,Backend Engineer,Stampli,Tel Aviv-Yafo,4.2 ,"We are looking for talented and motivated engineers to join our team here at Stampli who can hit the ground running and take our product to the next level, as we scale up and develop our business in our target markets. The Engineers who are building our product work across the stack, always willing to go the extra mile to deliver the highest quality software. As a developer for Stampli, you are building the technology today that will redefine the way companies communicate internally and with each other about their business transactions We are located in Tel Aviv next to Azrieli Center.  The Role:  Requirements:",-1,1,4.1,4.3,4.2,4.2,4.2,51 to 200 Employees,Company - Private,Financial Services,2015,Financial Transaction Processing,Unknown / Non-Applicable
44,Cyber Intern,XM Cyber,Herzliya,4.5 ,"XM Cyber is a leading hybrid cloud security company that’s changing the way organizations approach cyber risk. XM Cyber transforms exposure management by demonstrating how attackers leverage and combine misconfigurations, vulnerabilities, identity exposures, and more, across cloud and on-prem environments to compromise critical assets. With XM Cyber, you can see all the ways attackers might go, and all the best ways to stop them, pinpointing where to remediate exposures with a fraction of the effort. We are looking for a young talented software developer to join our Developing team. Advanced Knowledge in Java/ NodeJS/ C++ Modern attack techniques for Cloud (AWS, Azure, GCP) and enterprise environments.  Requirements:",-1,1,4.3,4.3,4.3,4.1,4.2,51 to 200 Employees,Company - Public,Information Technology,2016,Enterprise Software & Network Solutions,Unknown / Non-Applicable
