title,employer,location,rating,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue,age,district,python_keyword,ai_keyword,java_keyword,javascript_keyword,c++_keyword,react_keyword,sql_keyword,aws_keyword,git_keyword
Software Engineer,Wiliot,Israel,4,1,4,4,4,4,4.4,1 to 50 Employees,Company - Private,Information Technology,2017,Computer Hardware Development,Unknown / Non-Applicable,6,Israel,0,1,0,0,0,0,0,0,1
(Data) Analyst,OGC Global,Tel Aviv,5,1,5,4,5,5,5.0,1 to 50 Employees,Company - Public,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,lusha,Tel Aviv,3,0,3,3,3,3,3.8,201 to 500 Employees,Company - Private,Information Technology,2016,Software Development,Unknown / Non-Applicable,7,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,Pulsenmore,Ramat Gan,-1,1,5,5,5,5,5.0,1 to 50 Employees,Company - Public,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,INTEL,Petah Tikva,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD),55,Central,0,0,0,0,0,0,0,0,0
Software Engineer,Google,Tel Aviv,4,0,4,4,4,4,4.2,10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD),25,Tel Aviv,0,1,0,0,0,0,0,0,0
Student/Intern,Personetics,Giv`atayim,-1,1,3,3,3,3,3.3,51 to 200 Employees,Company - Private,Information Technology,-1,Computer Hardware Development,$1 to $5 million (USD),-1,Tel Aviv,0,1,0,0,0,0,0,0,1
Developer,Invaya,Herzliya,3,0,2,3,3,2,2.6,51 to 200 Employees,Company - Private,Transportation & Logistics,2010,Taxi & Car Services,Unknown / Non-Applicable,13,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,NetApp,Tel Aviv,4,0,3,4,4,3,4.3,10000+ Employees,Company - Public,Information Technology,1992,Enterprise Software & Network Solutions,$5 to $10 billion (USD),31,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,Capitolis,Tel Aviv,4,1,4,4,3,3,4.0,51 to 200 Employees,Company - Private,Financial Services,2017,Financial Transaction Processing,Unknown / Non-Applicable,6,Tel Aviv,0,1,0,0,0,0,0,0,0
Student/Intern,Screenovate,Qiryat Gat,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD),55,Southern,0,1,0,0,0,0,0,0,0
Software Engineer,Proofpoint,Tel Aviv,4,0,3,3,4,4,4.0,1001 to 5000 Employees,Company - Private,Information Technology,2002,Enterprise Software & Network Solutions,$100 to $500 million (USD),21,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,Hewlett Packard Enterprise,Herzliya,4,0,3,3,4,3,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable,8,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,Silverfort,Tel Aviv,4,1,4,4,4,4,4.8,51 to 200 Employees,Company - Private,Information Technology,2016,Enterprise Software & Network Solutions,Unknown / Non-Applicable,7,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,Hewlett Packard Enterprise,Herzliya,4,0,3,3,4,3,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable,8,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,ISI,Yehud,4,0,4,3,4,4,4.8,51 to 200 Employees,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Central,0,1,0,0,0,0,0,0,0
Software Engineer,Horizon Technologies,Ramat Gan,3,0,3,3,3,3,2.9,201 to 500 Employees,Company - Private,Management & Consulting,-1,Business Consulting,$25 to $100 million (USD),-1,Tel Aviv,1,0,0,0,0,0,1,0,0
Software Engineer,WhiteSource,Giv`atayim,4,0,4,3,4,3,4.1,201 to 500 Employees,Company - Private,Information Technology,2011,Enterprise Software & Network Solutions,Unknown / Non-Applicable,12,Tel Aviv,0,0,0,0,0,0,0,0,1
Student/Intern,INTEL,Petah Tikva,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD),55,Central,0,1,0,0,0,0,0,0,0
Student/Intern,Microsoft,Tel Aviv,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1975,Computer Hardware Development,$10+ billion (USD),48,Tel Aviv,0,0,0,0,0,0,0,1,0
Student/Intern,SAP,Raanana,4,0,4,4,4,4,4.3,Unknown,Unknown,Information Technology,-1,Unknown,$10+ billion (USD),-1,Central,0,0,0,0,0,0,0,0,0
Student/Intern,Google,Tel Aviv,4,0,4,4,4,4,4.2,10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD),25,Tel Aviv,0,0,0,0,0,0,0,0,0
(Data) Analyst,Tectu,Tel Aviv,-1,0,-1,-1,-1,-1,-1.0,51 to 200 Employees,Company - Private,Information Technology,2021,Software Development,Unknown / Non-Applicable,2,Tel Aviv,0,0,0,0,0,0,0,0,0
Developer,Dynamic Yield,Tel Aviv,4,1,3,3,3,3,3.8,51 to 200 Employees,Company - Private,Information Technology,2011,Internet & Web Services,Unknown / Non-Applicable,12,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,Skai,Tel Aviv,-1,1,-1,-1,-1,-1,-1.0,1 to 50 Employees,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,1,0,0,0,0,0,0,1
Software Engineer,Pagaya Israel,Tel Aviv,3,1,3,3,3,2,3.4,501 to 1000 Employees,Company - Public,Financial Services,2016,Banking & Lending,$500 million to $1 billion (USD),7,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,XM Cyber,Herzliya,4,1,4,4,4,4,4.2,51 to 200 Employees,Company - Public,Information Technology,2016,Enterprise Software & Network Solutions,Unknown / Non-Applicable,7,Tel Aviv,0,0,1,0,1,0,0,1,0
Software Engineer,Varonis,Herzliya,4,0,4,4,4,3,4.0,1001 to 5000 Employees,Company - Public,Information Technology,2005,Software Development,$100 to $500 million (USD),18,Tel Aviv,0,1,0,0,0,0,0,0,0
Developer,Infinidat,Tel Aviv,3,0,3,3,3,3,4.4,201 to 500 Employees,Company - Private,Information Technology,-1,Computer Hardware Development,Unknown / Non-Applicable,-1,Tel Aviv,1,1,0,0,1,0,0,0,0
Student/Intern,Microsoft,Tel Aviv,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1975,Computer Hardware Development,$10+ billion (USD),48,Tel Aviv,0,1,0,0,0,0,0,1,0
Other,Gong.io Inc.,Tel Aviv,4,0,3,4,4,4,3.9,1001 to 5000 Employees,Company - Private,Information Technology,2015,Enterprise Software & Network Solutions,Unknown / Non-Applicable,8,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,Microsoft,Tel Aviv,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1975,Computer Hardware Development,$10+ billion (USD),48,Tel Aviv,0,1,0,0,0,0,0,1,0
(Data) Analyst,Nym Health,Tel Aviv,-1,1,4,4,3,2,4.4,1 to 50 Employees,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Developer,ART Medical,Netanya,4,0,4,4,4,4,4.3,Unknown,Company - Public,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Central,0,1,0,0,0,0,0,0,0
Software Engineer,Broadcom,Tel Aviv,3,0,3,4,3,3,3.3,10000+ Employees,Company - Public,Manufacturing,1991,Electronics Manufacturing,$10+ billion (USD),32,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,Munters,Petah Tikva,3,0,3,3,3,3,3.7,1001 to 5000 Employees,Company - Public,Manufacturing,1955,Machinery Manufacturing,$500 million to $1 billion (USD),68,Central,0,1,0,0,0,0,0,0,0
Developer,BMC Software,Tel Aviv,4,0,3,4,4,3,4.0,5001 to 10000 Employees,Company - Private,Information Technology,1980,Enterprise Software & Network Solutions,$1 to $5 billion (USD),43,Tel Aviv,0,0,0,0,0,0,0,0,0
Developer,Albert Technologies,Tel Aviv,3,0,3,3,3,3,3.2,1 to 50 Employees,Company - Public,Unknown,-1,Unknown,$1 to $5 million (USD),-1,Tel Aviv,0,1,0,0,0,0,0,0,1
Software Engineer,Google,Tel Aviv,4,0,4,4,4,4,4.2,10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD),25,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,Google,Tel Aviv,4,0,4,4,4,4,4.2,10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD),25,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,Salesforce,Tel Aviv,4,0,3,4,4,3,3.9,10000+ Employees,Company - Public,Information Technology,1999,Enterprise Software & Network Solutions,$10+ billion (USD),24,Tel Aviv,0,1,0,0,0,0,0,0,0
Developer,ART MEDICAL Ltd,Netanya,4,1,4,4,4,4,4.3,Unknown,Company - Public,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Central,0,1,0,0,0,0,0,0,0
Software Engineer,EFI,Rosh Ha`Ayin,3,0,3,2,3,3,3.4,1001 to 5000 Employees,Company - Public,Information Technology,1989,Computer Hardware Development,$1 to $5 billion (USD),34,Central,0,0,0,0,0,0,0,0,1
Developer,Optimove,Tel Aviv,4,0,4,4,4,4,4.4,201 to 500 Employees,Company - Private,Information Technology,2009,Internet & Web Services,Unknown / Non-Applicable,14,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,Nova Ltd.,Rehovot,4,1,4,4,4,4,4.3,501 to 1000 Employees,Company - Public,Manufacturing,1993,Machinery Manufacturing,$100 to $500 million (USD),30,Central,0,1,0,0,0,0,0,0,0
Student/Intern,Hewlett Packard Enterprise,Herzliya,4,0,3,3,4,3,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable,8,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,Oski Technology,Israel,4,0,4,4,4,4,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD),30,Israel,1,1,0,0,0,0,0,0,1
Software Engineer,Jamf,Israel,4,0,3,3,4,3,4.4,1001 to 5000 Employees,Company - Public,Information Technology,2002,Enterprise Software & Network Solutions,Unknown / Non-Applicable,21,Israel,0,0,0,0,0,0,0,0,0
Software Engineer,Mend,Giv`atayim,4,1,4,3,3,3,4.0,1 to 50 Employees,Company - Private,Healthcare,2014,Health Care Services & Hospitals,Unknown / Non-Applicable,9,Tel Aviv,0,0,0,0,0,0,0,0,1
Developer,Twingo,Herzliya,4,0,4,3,4,4,4.5,1 to 50 Employees,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,1,1,0,0,0,0,0,0,0
(Data) Analyst,NSO GROUP,Herzliya,-1,1,-1,-1,-1,-1,-1.0,Unknown,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Other,Red Hat Software,Raanana,4,0,4,3,4,3,4.3,10000+ Employees,Company - Public,Information Technology,1993,Enterprise Software & Network Solutions,$1 to $5 billion (USD),30,Central,0,1,0,0,0,0,0,0,0
Student/Intern,Apple,Herzliya,4,0,3,4,4,3,3.6,10000+ Employees,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion (USD),47,Tel Aviv,0,1,0,0,0,0,0,0,0
Engineer,Explorium,Tel Aviv,4,1,4,4,4,4,3.9,51 to 200 Employees,Company - Private,Information Technology,2017,Enterprise Software & Network Solutions,Unknown / Non-Applicable,6,Tel Aviv,0,1,0,0,0,0,0,0,0
Student/Intern,Bright Data,Netanya,4,0,4,4,4,4,4.5,201 to 500 Employees,Company - Private,Information Technology,2014,Internet & Web Services,$100 to $500 million (USD),9,Central,0,1,0,0,0,0,0,0,0
Data Scientist,EY,Tel Aviv,3,0,-1,-1,-1,-1,-1.0,Unknown,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,1,0,0,0,0,0,0,0
Engineer,Varonis,Herzliya,4,0,4,4,4,3,4.0,1001 to 5000 Employees,Company - Public,Information Technology,2005,Software Development,$100 to $500 million (USD),18,Tel Aviv,0,1,0,0,0,0,0,0,0
Developer,Aurora Labs,Tel Aviv,5,0,4,4,4,4,4.6,Unknown,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,1,1,0,0,0,0,0,0,0
Software Engineer,Cato Networks,Tel Aviv,4,1,4,4,4,4,4.0,51 to 200 Employees,Company - Private,Information Technology,2015,Enterprise Software & Network Solutions,Unknown / Non-Applicable,8,Tel Aviv,0,1,0,0,0,0,0,0,0
Developer,BMC Software,Tel Aviv,4,0,3,4,4,3,4.0,5001 to 10000 Employees,Company - Private,Information Technology,1980,Enterprise Software & Network Solutions,$1 to $5 billion (USD),43,Tel Aviv,0,0,0,0,0,0,0,0,0
Developer,Twingo,Herzliya,4,0,4,3,4,4,4.5,1 to 50 Employees,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,1,0,0,0,0,0,0,0
Engineer,FORTVISION,Tel Aviv,3,0,4,4,4,4,4.1,Unknown,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,1,0,0,0,0,0,1,0
Other,Check Point Software Technologies Ltd.,Tel Aviv,3,0,-1,-1,-1,-1,-1.0,Unknown,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,Oski Technology,Raanana,4,0,4,4,4,4,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD),30,Central,1,1,0,0,0,0,0,0,0
Developer,Healthy.io,Tel Aviv,4,1,4,4,4,4,4.5,201 to 500 Employees,Company - Private,Healthcare,2013,Medical Testing & Clinical Laboratories,Unknown / Non-Applicable,10,Tel Aviv,0,1,0,0,0,0,0,0,1
Software Engineer,Varonis,Herzliya,4,0,4,4,4,3,4.0,1001 to 5000 Employees,Company - Public,Information Technology,2005,Software Development,$100 to $500 million (USD),18,Tel Aviv,0,1,0,0,0,0,0,0,0
Other,RecrutiX,Raanana,5,0,5,4,5,5,4.0,1 to 50 Employees,Company - Private,Pharmaceutical & Biotechnology,-1,Biotech & Pharmaceuticals,Unknown / Non-Applicable,-1,Central,1,1,0,0,0,0,0,0,0
Software Engineer,NVIDIA,Israel,4,0,4,4,4,4,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD),30,Israel,0,1,0,0,0,0,0,0,1
QA,Agora,Tel Aviv,3,1,3,3,3,3,3.8,1001 to 5000 Employees,Company - Private,Media & Communication,1978,Publishing,Unknown / Non-Applicable,45,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,Google,Tel Aviv,4,0,4,4,4,4,4.2,10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD),25,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,Apple,Herzliya,4,0,-1,-1,-1,-1,-1.0,Unknown,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Developer,CPS Jobs,Tel Aviv,2,0,3,4,4,3,3.6,10000+ Employees,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion (USD),47,Tel Aviv,0,0,0,0,0,0,0,0,0
Developer,Mars Media Group,Herzliya,3,0,3,2,3,3,3.4,51 to 200 Employees,Company - Private,Media & Communication,2005,Advertising & Public Relations,Unknown / Non-Applicable,18,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,Microsoft,Tel Aviv,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1975,Computer Hardware Development,$10+ billion (USD),48,Tel Aviv,0,0,0,0,0,0,0,1,0
Software Engineer,Meta,Tel Aviv,4,0,3,4,3,3,3.6,10000+ Employees,Company - Public,Information Technology,2004,Internet & Web Services,$10+ billion (USD),19,Tel Aviv,0,1,0,0,0,0,0,0,1
Other,DRW,Tel Aviv,4,0,4,4,4,4,4.0,1001 to 5000 Employees,Company - Private,Financial Services,1992,Investment & Asset Management,Unknown / Non-Applicable,31,Tel Aviv,0,1,0,0,0,0,0,0,0
Engineer,Inspekto,Ramat Gan,-1,1,-1,-1,-1,-1,-1.0,Unknown,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,Facebook App,Tel Aviv,4,0,3,4,3,3,3.6,10000+ Employees,Company - Public,Information Technology,2004,Internet & Web Services,$10+ billion (USD),19,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,Salesforce,Tel Aviv,4,0,3,4,4,3,3.9,10000+ Employees,Company - Public,Information Technology,1999,Enterprise Software & Network Solutions,$10+ billion (USD),24,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,CPS Jobs,Tel Aviv,2,0,3,1,2,2,3.6,1 to 50 Employees,Company - Private,Human Resources & Staffing,-1,HR Consulting,Unknown / Non-Applicable,-1,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,Ultima Genomics,Tel Aviv,3,0,3,3,3,3,3.5,Unknown,Company - Private,Manufacturing,-1,Machinery Manufacturing,Unknown / Non-Applicable,-1,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,ADASKY,Israel,4,0,4,3,4,5,4.4,Unknown,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Israel,0,0,0,0,0,0,0,0,0
Engineer,Appdome,Tel Aviv,3,0,3,3,3,3,3.5,51 to 200 Employees,Company - Private,Information Technology,2012,Software Development,Unknown / Non-Applicable,11,Tel Aviv,1,0,1,0,1,0,0,0,0
Software Engineer,Microsoft,Tel Aviv,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1975,Computer Hardware Development,$10+ billion (USD),48,Tel Aviv,0,1,0,0,0,0,0,1,0
Software Engineer,Google,Tel Aviv,4,0,4,4,4,4,4.2,10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD),25,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,Apple,Herzliya,4,0,3,4,4,3,3.6,10000+ Employees,Company - Public,Information Technology,1976,Computer Hardware Development,$10+ billion (USD),47,Tel Aviv,0,0,0,0,0,0,0,0,0
Developer,Twingo,Herzliya,4,0,-1,-1,-1,-1,-1.0,Unknown,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Other,Microsoft,Tel Aviv,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1975,Computer Hardware Development,$10+ billion (USD),48,Tel Aviv,0,1,0,0,0,0,0,1,0
Developer,Sunbit,Israel,3,0,4,3,4,4,4.1,201 to 500 Employees,Company - Private,Financial Services,2016,Banking & Lending,Unknown / Non-Applicable,7,Israel,0,1,0,0,0,0,0,0,0
Other,Oski Technology,Israel,4,0,4,4,4,4,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD),30,Israel,0,1,0,0,0,0,0,0,0
Student/Intern,Caja Systems,Israel,4,0,4,4,4,3,2.9,1 to 50 Employees,Company - Public,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Israel,0,0,0,0,0,0,0,0,0
Other,INTEL,Petah Tikva,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD),55,Central,0,1,0,0,0,0,0,0,0
Developer,CPS Jobs,Tel Aviv,2,0,3,1,2,2,3.6,1 to 50 Employees,Company - Private,Human Resources & Staffing,-1,HR Consulting,Unknown / Non-Applicable,-1,Tel Aviv,1,1,0,0,0,0,1,1,0
Software Engineer,Oski Technology,Israel,4,0,4,4,4,4,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD),30,Israel,0,1,0,0,0,0,0,0,1
Other,NVIDIA,Israel,4,0,4,4,4,4,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD),30,Israel,0,1,0,0,0,0,0,0,0
Software Engineer,Oski Technology,Israel,4,0,4,4,4,4,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD),30,Israel,0,1,0,0,0,0,0,0,0
QA,McKinsey & Company,Tel Aviv,4,0,4,4,4,4,3.2,201 to 500 Employees,Company - Private,Management & Consulting,2009,Business Consulting,Unknown / Non-Applicable,14,Tel Aviv,0,1,0,0,0,0,0,0,0
QA,National Instruments,Tel Aviv,3,0,3,3,4,3,4.2,5001 to 10000 Employees,Company - Public,Manufacturing,1976,Electronics Manufacturing,$1 to $5 billion (USD),47,Tel Aviv,0,1,0,0,0,0,0,0,0
Other,Twingo,Herzliya,4,0,4,3,4,4,4.5,1 to 50 Employees,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,1,0,0,0,0,0,0,0
Other,Cognyte,Herzliya,4,1,3,3,4,3,3.9,1001 to 5000 Employees,Company - Public,Information Technology,2021,Enterprise Software & Network Solutions,$100 to $500 million (USD),2,Tel Aviv,0,0,0,0,0,0,0,0,0
Other,DoiT International,Tel Aviv,4,1,-1,-1,-1,-1,-1.0,Unknown,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Data Scientist,Citi,Tel Aviv,3,0,3,3,3,3,3.5,10000+ Employees,Company - Public,Financial Services,1812,Investment & Asset Management,$10+ billion (USD),211,Tel Aviv,0,1,0,0,0,0,0,0,0
Software Engineer,Mastercard,Tel Aviv,4,0,4,4,4,4,4.3,10000+ Employees,Company - Public,Financial Services,1966,Financial Transaction Processing,Unknown / Non-Applicable,57,Tel Aviv,0,1,0,0,0,0,1,1,1
Software Engineer,Microsoft,Tel Aviv,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1975,Computer Hardware Development,$10+ billion (USD),48,Tel Aviv,0,1,0,0,0,0,0,1,0
Other,Assured Allies,Ramat Gan,4,1,4,4,4,4,4.4,1 to 50 Employees,Company - Private,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,NVIDIA,Israel,4,0,4,4,4,4,4.1,10000+ Employees,Company - Public,Information Technology,1993,Computer Hardware Development,$5 to $10 billion (USD),30,Israel,0,1,0,0,0,0,0,0,0
Engineer,Iguazio,Herzliya,4,0,3,4,3,3,4.4,51 to 200 Employees,Company - Private,Information Technology,2014,Enterprise Software & Network Solutions,Unknown / Non-Applicable,9,Tel Aviv,1,1,0,0,0,0,0,0,0
Other,Google,Tel Aviv,4,0,4,4,4,4,4.2,10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD),25,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,Google,Tel Aviv,4,0,4,4,4,4,4.2,10000+ Employees,Company - Public,Information Technology,1998,Internet & Web Services,$10+ billion (USD),25,Tel Aviv,0,0,0,0,0,0,0,0,0
Data Scientist,Glassbox Ltd.,Petah Tikva,4,1,4,4,4,4,4.3,201 to 500 Employees,Company - Public,Information Technology,2010,Enterprise Software & Network Solutions,Unknown / Non-Applicable,13,Central,0,1,0,0,0,0,0,0,1
Student/Intern,SAP,Raanana,4,0,4,4,4,4,4.3,10000+ Employees,Company - Public,Information Technology,1972,Enterprise Software & Network Solutions,$10+ billion (USD),51,Central,0,0,0,0,0,0,0,0,0
Student/Intern,INTEL,Petah Tikva,4,0,4,4,4,3,4.1,10000+ Employees,Company - Public,Information Technology,1968,Computer Hardware Development,$10+ billion (USD),55,Central,0,0,0,0,0,0,0,0,0
Software Engineer,Pagaya Israel,Tel Aviv,3,1,-1,-1,-1,-1,-1.0,Unknown,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,Hewlett Packard Enterprise,Herzliya,4,0,-1,-1,-1,-1,-1.0,Unknown,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
Student/Intern,Personetics,Giv`atayim,-1,1,3,3,4,3,4.2,10000+ Employees,Company - Public,Information Technology,2015,Information Technology Support Services,Unknown / Non-Applicable,8,Tel Aviv,0,0,0,0,0,0,0,0,0
Software Engineer,lusha,Tel Aviv,3,0,3,3,3,3,3.8,Unknown,Unknown,Unknown,-1,Unknown,Unknown / Non-Applicable,-1,Tel Aviv,0,0,0,0,0,0,0,0,0
