,title,employer,location,rating,description,salary_estimate,easy_apply,career_opportunities_rating,comp_and_benefits_rating,culture_and_values_rating,senior_management_rating,work_life_balance_rating,company_size,company_type,company_sector,company_founded,company_industry,company_revenue
17,Frontend Developer & Instructor,abra Web & Mobile,Ramat Gan,4.1 ,"We are seeking a talented and experienced Frontend Developer with a passion for teaching to join our dynamic team. In our division, we specialize in building advanced web and mobile systems for a wide range of clients, including startups, large companies, and government organizations. In this role, you will primarily be responsible for frontend development tasks, while also dedicating approximately 30% of your time to delivering lectures and conducting training sessions in the field of web development. The ideal candidate will have a strong technical background in frontend development and excellent communication skills to effectively impart knowledge to students and junior developers.  Requirements:  Responsibilities:",-1,1,4.3,3.7,4.3,4.4,4.4,501 to 1000 Employees,Company - Public,Information Technology,2020,Information Technology Support Services,Unknown / Non-Applicable
18,Backend Developer,90min.com,Tel Aviv-Yafo,3.9 ,Backend Developer R&D Tel Aviv Intermediate Full-time,-1,0,3.5,3.3,3.8,3.6,4.1,201 to 500 Employees,Company - Private,Media & Communication,2011,Publishing,Unknown / Non-Applicable
19,Front-End Developer,PRIMIS,Tel Aviv-Yafo,4.2 ,"A Bit About Us We are an ever-evolving company, driven by our passion for video. We’ve grown from a small start-up to a thriving business, and have been a part of the biggest global ad agency for ten years. Our main priority is maintaining our fun and determined environment and keeping our employees engaged in their work. We need people that are as passionate about video and the ad tech industry. If you are ambitious, hardworking, and motivated, we want to get to know you! About the Position",-1,0,4.0,3.9,3.9,3.9,3.2,51 to 200 Employees,Company - Private,Media & Communication,2007,Advertising & Public Relations,Unknown / Non-Applicable
20,Full Stack Web Developer,Invaya,Herzliya,3.3 ,"Job Description: Design, deliver and support the development of web-based applications Build infrastructure, reusable components and front-end libraries Experience developing backend web applications Develop new user-facing features and improve the user experience Optimize the front end performance and experience Collaborate closely with product and R&D teams  Required Skills: Strong technical skills and a passion for developing features end-to-end (client and server) Experience in building web applications from scratch Experience with developing and monitoring micro-service architecture Experience with Web development technologies Knowledge of SQL databases and working experience with MySQL Experience with server technologies Ability to work independently and as part of a team Strong communication skills High problem analysis and solving skills",-1,0,2.7,3.0,3.3,2.5,2.6,51 to 200 Employees,Company - Private,Transportation & Logistics,2010,Taxi & Car Services,Unknown / Non-Applicable
21,Full-Stack Developer (מספר משרה - 3028),קבוצת כלמוביל,Rosh Ha`Ayin,3.8 ,"מטרת התפקיד: פיתוח ותחזוקת אתרי החברה, במטרה לייצר פתרונות טכנולוגיים המותאמים לצרכים העסקיים של החברה. איך יראה היום שלך? פיתוח אתרים. הובלה ויישום של פתרונות פיתוח לדרישות העסקיות תמיכה ותחזוקה שוטפת של תהליכים עסקיים קיימים עבודה מול ממשקים פנים וחוץ ארגוניים. למי מתאימה המשרה? שנתיים ניסיון בפיתוח צד לקוח ב-ReactJS – חובה שנתיים ניסיון בפיתוח צד שרת באחת השפות הבאות: Node.js/PHP– חובה ניסיון בפיתוח אתרי WordPress – חובה ניסיון בעבודה עם Git – חובה ניסיון ב-NextJS – יתרון מהותי העסקה במיקור חוץ",-1,0,3.3,3.0,3.7,3.7,4.2,501 to 1000 Employees,Company - Private,Retail & Wholesale,-1,Vehicle Dealers,Unknown / Non-Applicable
22,Front End Developer,InspHire,Ramat Gan,5.0 ,"We are looking for a Front-End Web Developer who is motivated to combine the art of design with the art of programming to join a well-financed, energetic startup-like publicly traded company, led by experienced and well-reputed entrepreneurs in the blockchain-crypto space is. Responsibilities will include translation of the UI/UX design wireframes to actual code that will produce visual elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works. Responsibilities Develop new user-facing features Build reusable code and libraries for future use",-1,1,-1.0,-1.0,-1.0,-1.0,-1.0,1 to 50 Employees,Company - Private,Management & Consulting,2017,Business Consulting,Unknown / Non-Applicable
23,Full Stack Developer,InspHire,Tel Aviv-Yafo,5.0 ,"Strong Full-stack developer with a getting things done attitude? Come join a well-funded start-up that focuses on changing the way people leverage data to make decisions! The company believes that out-of-context dashboards are not the solution but the problem, and they are obsessively passionate about helping people take data-driven actions!  This is not a classic developer role: You will work closely with other developers and the data team in order to build a complex system that handles massive amounts of data (React, Python), knowledge in k8s and micro-services architecture is a plus.  What you should have? 2+ years hands-on experience with React/Vue.js is a must 2+ years of backend experience, preferably Python Ability to work independently and lead initiatives E2E.",-1,1,-1.0,-1.0,-1.0,-1.0,-1.0,1 to 50 Employees,Company - Private,Management & Consulting,2017,Business Consulting,Unknown / Non-Applicable
24,Junior Software Developer,Altair,Israel,4.3 ,"Junior Software Developer System Engineering Israel Design the Tomorrow. Every day. We are on a mission of taking the world into a new future, connecting it, and enabling new ways of seeing it. By the power of curiosity and passion, using technology, and in full partnership - we lead change day by day. Our vision is built by individuals, connected to one another. We are in the business of creating our own reality when it’s the daily effort that counts – for an exciting future, one we wish to live in.",-1,0,4.0,4.2,4.2,4.0,4.2,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
25,Full Stack Developer,accessiBe,Tel Aviv-Yafo,4.7 ,"accessiBe is the market leader in web accessibility that makes websites accessible to people with disabilities. accessiBe is more than a workplace, it’s a passion. Each day you’re surrounded by people who share the same goal and values, who work passionately to break down accessibility barriers. We care about all people, regardless of their ability. We hire people that are determined to succeed and who are not afraid of rapid change. Our core values showcase who we are and we strive to focus on excellence and sincerity.  We are looking for an experienced Full Stack Developer to join our growing R&D department. You will be responsible for influencing the department's architecture, methodologies, and work protocols. This role is hands-on while being able to learn new things every day and adapting to the company’s growth.     Requirements:",-1,1,4.5,4.6,4.7,4.6,4.5,51 to 200 Employees,Company - Private,Information Technology,2018,Internet & Web Services,Unknown / Non-Applicable
26,Full-Stack Developer,Ideo digital,Tel Aviv-Yafo,3.8 ,"Planning your digital transformation  We start our engagement with a 360˚ strategy and business model assessment that is based on the intersection of your business goals and the needs, interests and aspirations of your target customers. Our focus is on enhancing your relevance in the market by solving the most significant pain points of your customers and providing you the marketing context in which we can continually optimize business performance together. We will work with you to present and resolve critical brand, business model, product and customer experience issues and drive growth for your business.",-1,0,2.0,2.0,1.0,1.0,3.0,1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
27,Frontend Developer,BMC Software,Tel Aviv-Yafo,4.1 ,Basic Information Country Israel State NA City Tel Aviv Date Published,-1,0,3.9,4.1,4.1,3.8,4.0,5001 to 10000 Employees,Company - Private,Information Technology,1980,Enterprise Software & Network Solutions,$1 to $5 billion (USD)
28,Middle Full-Stack (Node.js + React),YozmaTech,Herzliya,5.0 ,Details Opportunities: We are currently seeking a highly skilled and experienced Senior Java Developer to join our dynamic team. The main goal for us is to find an individual who not only possesses strong technical expertise in Java development but also has the ability to effectively mentor and foster the growth of team members. The ideal candidate should be motivated to advance their career into a leadership position as a Team Lead. Requirements: Minimum 3 years of experience in developing front-end applications using React,-1,0,5.0,5.0,5.0,4.0,5.0,51 to 200 Employees,Company - Public,-1,-1,-1,Unknown / Non-Applicable
29,Front-end JavaScript Developer (React),Devalore,Petah Tikva,3.9 ,"We are looking for a great JavaScript developer who is proficient with React.js. Your primary focus will be on developing user interface components and implementing those following well-known React.js workflows (such as Flux or Redux). You will ensure that these components and the overall application are robust and easy to maintain. You will coordinate with the rest of the team working on different layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product are important. Responsibilities Developing new user-facing features using React.js Building reusable components and front-end libraries for future use",-1,0,4.0,3.2,3.5,3.8,3.9,51 to 200 Employees,Company - Private,Information Technology,2010,Computer Hardware Development,Unknown / Non-Applicable
30,Junior full-stack Developer לחברת סטארטאפ בתחום האינטרנט של הדברים ברמת גן,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: נשמח לעניין במשרת Junior full-stack Developer למפתח/ת עם נסיון של שנה בפיתוח. התפקיד כולל כתיבת קוד 60% מהזמן לצד הServer בJava והיתר לצד הClient בAngular8. עוסקים בפיתוח פלטפורמת SaaS המאפשרת ניהול תקשורת וקישוריות רציפה, גלובאלית ומאובטחת למכשירי IoT בארגונים. לחברה פטנטים רשומים. מונים 50 עובדים, יושבים במשרדים חדשים ברמת גן וממומנים ב 26 מיליון דולר. נמצאים בתנופת צמיחה משמעותית! דרישות המשרה:",-1,0,4.1,4.6,4.1,4.5,3.7,-1,-1,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
31,HTML | JavaScript,,Tel Aviv-Yafo,-1,"q-nomy inc., a leading software vendor providing solutions that optimize true omnichannel digital and physical business processes and customer journey is looking for a full-stack developer to join its r&d team which is currently working on new and exciting additions to our product line. required skills: solid c#/ .net programming skills, 3-5 years of experience working experience with .net core or .net framework proven experience with frontend technologies (react, angular, javascript, html, css, etc.) good understanding and experience in developing rest apis substantial experience working with ms sql server, including querying, table design, indexing, and optimization experience using entity framework or another orm framework writing effective unit tests independent and creative problem-solving attitude send cv in link below or to mail: |** לפנייה למשרה יש להגיש מועמדות **| https://jobyjobs.com/job/17355 #fullstackdeveloper #fullstack #dotnet #csharp #angular",-1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1
32,Junior Fullstack Developer בתחום ה-E-Commerce,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: אנחנו מפתחים מוצר SaaS, מערכת E-commerce בעולם ה- SMB. מערכת מבוססת אלגוריתמים שמנתחת התנהגות. יודעת להתאים חוויה למשתמש וכך להגדיל רווחים. מציעים לכל חנות אינטרנטית אפשרות לשלב בינה מלאכותית באתר כדי להגדיל את המכירות. מדובר באלגוריתם שבוחן את התנועות של משתמשים באתר ומנתחים אותן על מנת להתאים את החוויה באתר בזמן אמת. יש להם הרבה לקוחות משלמים והם קרובים לרווחיות. מונים 10 עובדים, יושבים ברמת גן, קו רכבת. פיתוח כ-70% ב-NodeJS והיתר ב-React. נשמח לתת פרטים נוספים, הגש/י קורות חיים",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
33,Junior Full stack Developer בחברת Start Up שמפתחת מערכת בקרת איכות אוטונומית,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: אנחנו מגייסים Junior Full stack Developer למשפחה! מדובר בחברה שמפתחת מערכת בקרת איכות אוטונומית לזיהוי פגמים בתהליך הייצור. זו טכנולוגיה ייחודית הכוללת שימוש ב-Machine Learning, Computer Vision. המצלמה החכמה מתוקנת במפעלי ייצור, ופסי יצור והיא יודעת לבחון תוך כדי תנועה את החלקים השונים שנעים על הפס, ותוך הרצת אלגוריתמי AI ו- CV הבנה איזה חלקים הם עם פגמים ואיזה חלקים טובים. המוצר יודע לחסוך מיליוני דולרים בפס הייצור לחברות. החברה ממוקמת ברמת גן על קו רכבת ועובדת במודל היברידי. נשמח לקבל את קורות החיים שלך! דרישות המשרה:",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
34,Backend Software Developer,Invaya,Herzliya,3.3 ,Job Description: Developing large scale enterprise cloud SaaS solutions Be involved in the full life-cycle of product development from concept to deliverables  Required Skills: Experienced in writing production-grade code Experience with distributed systems and multi-threaded applications Experience in building complex highly scalable systems Programming in a linux environment Experience with micro-services deployment models A solid understanding of databases and large-scale data processing frameworks,-1,0,2.7,3.0,3.3,2.5,2.6,51 to 200 Employees,Company - Private,Transportation & Logistics,2010,Taxi & Car Services,Unknown / Non-Applicable
35,Junior Full stack Developer,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: לחברה בתחום מערכות CRM אשר יושבת בתל אביב דרוש/ה מפתח/ת Fullstack. החברה פיתחה תוכנה אשר נועדה לספק פתרון בענן לניהול עסקים בתחומים שונים, נותנת שירות ללמעלה מ-1000 לקוחות. התפקיד מאפשר השתלבות בצוות מפתחי Fullstack מנוסה. פיתוח ב#C ו-React. מחפש/ת מקום להשמיע בו את קולך? לעבוד באופן עצמאי בסביבה מהירה? מקומך איתנו! דרישות המשרה: תואר במדעי המחשב / הנדסת תוכנה שנתיים נסיון בפיתוח ב #C",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
36,Junior Developer ללא ניסיון לחברת סטארטאפ בעולם האלגוטריידינג,Gotfriends,Israel,4.8 ,"תיאור המשרה: לחברת סטארטאפ המפתחת אלגוריתמים חכמים בעולם האלגוטריידינג דרוש/ה בוגר/ת לימודי מדעי המחשב שמעוניין/ת להשתלב בסטארטאפ מהשורה הראשונה. הסטארטאפ הוקם על ידי יוצאי אחת היחידות הטכנולוגיות המובילות. הזדמנות להכנס לאחת החברות המובילות בתחום האלגוטריידינג ולעבוד עם היזמים המבריקים בתחום. להנות מתנאים מעולים! (אופציות, בונוסים ועוד פינוקים) דרישות המשרה: בוגרים/בוגרות תואר ראשון במדעי המחשב - ממוצע 90 ומעלה - יתרון",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
37,Junior Backend Developer לסטארטאפ מבטיח הנמצא מתחת לרדאר ברמת גן (קו רכבת),Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: אנחנו סטארט-אפ בהקמה עם פוטנציאל אדיר! גייסנו כבר 10 מליון דולר. הוקמנו על ידי יזמים למודי אקזיטים מוצלחים ומתוקשרים! לא נוכל לספר הרבה על העשייה שלנו כרגע אבל אנחנו נמצאים בשלב מרתק הכולל גיוס של ראשוני וראשונות העובדים/ות לתפקידי מפתח בחברה עם הרבה השפעה מקצה לקצה וחיבור לביזנס. נשמח לצרף מפתח/ת Backend לפיתוח בNodeJS משולב עם מעט Python, מעל Linux, סביבת AWS. עבודה עם Docker/Kubernetes. מדובר באתגר טכנולוגי יוצא דופן ופיתוח של מוצר מאפס. עבודה עם המון דאטה, הטמעת מתודולוגיה והגדרת הסטאק הטכנולוגי. נשמח להכיר מפתחים/ות עם נסיון של שנתיים ומעלה, מלא/ת מוטיבציה ורצון להוביל אותנו קדימה. שלח/י קורות חיים!",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
38,Python Backend Developer,Dynamic Yield,Tel Aviv-Yafo,4.0 ,"About Our Backend Developer Dynamic Yield, by Mastercard, is on the lookout for an exceptional Backend Developer focused on constructing better, more efficient programs and inspiring teams to build innovative and inspiring end-user experiences. The role requires a mind for collaboration, a motivated spirit, and the experience to repeatedly innovate solutions. Dynamic Yield prides itself on its ability to deliver top shelf services to clients; our Senior Backend Developer must be able to design and implement real time systems that work at scale and at real-time. Dynamic Yield is a company rooted in collaboration and creativity and is looking for excellence, the ability to effectively communicate through multiple channels, and high-functioning interpersonal skills - all are critical for this role's success.",-1,1,3.8,3.7,3.8,3.8,3.8,51 to 200 Employees,Company - Private,Information Technology,2011,Internet & Web Services,Unknown / Non-Applicable
39,Full Stack web developer,eternitech,Tel Aviv-Yafo,1.0 ,"Position description Eternitech is looking for Full Stack web developer, with at least 3 years of experience with Web development technologies & Mobile Applications. Required skills Vast experience in PHP, AngularJS, jQuery. Vast experience in HTML, CSS, supporting browsers and platforms and Responsive programming for tablet and mobile phone web apps. Experience in one the following languages:, C #, Ruby, Python – Advantage.",-1,0,1.0,1.0,1.0,1.0,1.0,1 to 50 Employees,Company - Private,-1,1993,-1,$5 to $25 million (USD)
40,Junior Backend Developer לחברת הייטק גלובאלית רווחית,Gotfriends,Tel Aviv-Yafo,4.8 ,"מיקום: ת""א והמרכז תיאור המשרה: משרה מעולה למפתח/ת Junior - כניסה לחברה מעולה! חברת הייטק גלובאלית רווחית המפתחת מוצר דיגיטליזציה לעולם ה Retail מבוסס IoT ו Computer vision מגייסת. עוסקים בפיתוח מערכת מצלמות ורובוט חכם המאפשרים לעקוב אחרי המצב במדפים והמלאי בחנויות והצגת מידע רב ותובנות בהתאם. התפקיד הינו כחלק מצוות וכולל פיתוח Backend בPython. מונים 250 עובדים וממוקמים באזור נגיש ליד קו רכבת, תל אביב. דרישות המשרה:",-1,0,4.1,4.6,4.1,4.5,3.7,51 to 200 Employees,Unknown,Human Resources & Staffing,-1,Staffing & Subcontracting,Unknown / Non-Applicable
41,Python Developer,Cuma Financial,Tel Aviv-Yafo,5.0 ,Python Developer Description We are looking for a skilled pyhton developer. You’ll work closely with research scientists to develop and maintain the infrastructure for complex statistical models and prediction algorithms. You’ll be part of a team of experts and work with state-of-the-art techniques from machine learning and applied mathematics. Responsabilities Managing the code base.,-1,0,5.0,5.0,5.0,5.0,5.0,1 to 50 Employees,Company - Private,-1,2017,-1,Unknown / Non-Applicable
